TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-06 22:24:04.505,1.3622535,0.6954528,0.92939806,0.0,1.2649719,0.63151747,0.5439619,0.0,1.1445111,0.44138587,0.5079053,0.0,0.779483,0.57848096,0.5325875,0.0,0.3729804,0.12172907,0.20354472,0.0,671.28204,756.30035,817.1429,90.25641,0.0,0.38238525390625,-0.12982177734375,0.93292236328125,-2.73651123046875,-4.418792724609375,-6.3702392578125,1,2.0,1.0,1.0,2.0,50.00
2020-03-06 22:24:05.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:05.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:06.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:06.535,1.3622535,0.6954528,1.0073549,0.0,1.2649719,0.63151747,0.6066551,0.0,1.1445111,0.44138587,0.066140674,0.0,0.779483,0.57848096,0.091190845,0.0,0.3729804,0.12172907,0.026818404,0.0,1040.3663,880.0,819.9634,1586.7399,1418.3151,0.3304443359375,0.01129150390625,0.95587158203125,1.383209228515625,-4.628143310546875,-3.60382080078125,1,2.0,1.0,1.0,2.0,50.00
2020-03-06 22:24:07.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:08.574,-0.43922856,0.52298546,0.24936886,0.0,-0.15335782,0.28422013,0.14378811,0.0,0.57454586,0.7209859,0.88197553,0.0,0.59844834,0.59497243,0.43683532,0.0,0.20506465,0.068335325,-0.2236713,0.0,960.58606,867.9121,811.9048,1521.0623,1607.2894,0.25579833984375,0.01300048828125,0.978271484375,0.441131591796875,-5.57769775390625,-1.6748046875,1,1.0,1.0,1.0,2.0,50.00
2020-03-06 22:24:09.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:10.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:10.584,0.41526383,0.52042013,-0.3327782,0.0,0.31574714,0.36692265,0.018103685,0.0,0.6564844,0.3986041,0.45477438,0.0,0.5594294,0.5488784,0.37488434,0.0,0.12890202,0.09136813,-0.20335244,0.0,794.17584,798.20514,819.5604,958.97437,1206.7766,0.25946044921875,0.02325439453125,0.97039794921875,1.128997802734375,-5.674896240234375,-2.6617431640625,1,1.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:11.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:12.600,0.6053545,0.6426713,0.46356618,0.0,0.1729226,0.6565017,0.63377035,0.0,0.61585826,0.87225574,0.9529009,0.0,0.42399716,0.5648334,0.36272052,0.0,0.06984505,-0.0059296596,-0.18113026,0.0,666.4469,759.5238,810.696,321.53845,91.4652,0.2806396484375,0.0277099609375,0.98052978515625,2.572021484375,-5.630035400390625,-0.919647216796875,1,2.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:13.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:14.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:14.623,0.6053545,0.3863873,0.4304743,0.0,0.1729226,0.3129982,0.706755,0.0,0.61585826,0.56882787,0.96524715,0.0,0.42399716,0.5564263,0.35531983,0.0,0.06984505,0.07087849,0.0075964276,0.0,619.707,757.1062,809.89014,342.89377,554.0293,0.275390625,0.0963134765625,0.96466064453125,0.366363525390625,-5.45806884765625,-8.426361083984375,1,2.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:15.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:16.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:16.638,0.6053545,0.33026993,1.0533782,0.0,0.1729226,0.3542883,1.0266696,0.0,0.61585826,0.5651914,0.7428873,0.0,0.42399716,0.66397053,0.30794653,0.0,0.06984505,0.021201093,0.13046792,0.0,513.3333,738.5714,836.8865,141.42857,408.57144,0.27813720703125,0.2532958984375,0.94329833984375,0.16448974609375,-3.312225341796875,0.949554443359375,1,2.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:17.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:18.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:18.666,0.6053545,0.4788916,0.20890503,0.0,0.1729226,0.31948563,0.21688896,0.0,0.61585826,0.34430262,0.61542934,0.0,0.42399716,0.6010825,0.14205527,0.0,0.06984505,0.018901957,-0.2270201,0.0,885.2381,811.0989,810.696,1028.6813,833.663,0.35589599609375,0.02227783203125,0.94830322265625,0.11962890625,-7.76092529296875,2.70660400390625,1,2.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:19.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:19.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:20.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:20.684,0.6053545,0.25759012,0.30751395,0.0,0.1729226,-0.16995862,0.44225848,0.0,0.61585826,0.3015198,0.92178696,0.0,0.42399716,0.53613764,0.26578033,0.0,0.06984505,0.09997812,-0.19578151,0.0,905.38464,833.2601,813.1135,1169.7069,975.89746,0.23736572265625,0.06658935546875,0.9776611328125,6.811370849609375,0.5084228515625,3.46923828125,1,2.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:20.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:22.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:22.731,0.6053545,1.0570828,0.9120132,0.0,0.1729226,0.82350206,0.48910275,0.0,0.61585826,0.7869046,0.86162853,0.0,0.42399716,0.5597026,0.18071605,0.0,0.06984505,0.055964246,-0.015475035,0.0,728.49817,779.67035,807.8755,616.08057,621.31866,0.24407958984375,0.062744140625,0.97991943359375,1.861724853515625,-5.72723388671875,-0.897216796875,1,2.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:23.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:24.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:24.739,0.6053545,0.7509703,0.33390737,0.0,0.1729226,0.08226458,0.6308507,0.0,0.61585826,0.3478203,1.0640635,0.0,0.42399716,0.5588363,0.30455148,0.0,0.06984505,0.14701276,-0.01716943,0.0,716.0073,772.01465,805.05493,553.22345,550.80585,0.25396728515625,0.04852294921875,0.97955322265625,1.12152099609375,-5.682373046875,-2.10845947265625,1,2.0,1.0,1.0,2.0,55.00
2020-03-06 22:24:24.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 22:24:26.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
