TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-09 16:36:02.976,0.638651,0.7311207,-3.0160983,0.45261,0.5251459,0.15349449,-2.877116,0.6220871,0.7045388,-0.024300773,-3.0417082,0.27954096,0.8453561,-0.19296265,-3.1509094,0.4258119,0.57088715,-0.4847684,-3.1010287,0.48798257,763.95605,800.2198,495.20148,782.0879,808.2784,-0.2203369140625,0.03173828125,0.98876953125,5.211334228515625,-5.14404296875,3.237457275390625,1,1.0,1.0,2.0,1.0,60.00
2020-03-09 16:36:03.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:36:04.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:36:04.980,0.36214486,0.43630633,-3.0160983,0.8083761,0.33419105,-0.2973017,-2.877116,0.60503703,0.2907034,-0.39386904,-3.0417082,0.8127626,0.20524168,-0.21106115,-3.1509094,0.53460044,0.24174027,-0.49197158,-3.1010287,0.19638903,722.0513,806.26373,659.19415,738.97437,740.58606,-0.2781982421875,0.0545654296875,0.97210693359375,1.51031494140625,-0.31402587890625,-1.143951416015625,1,1.0,1.0,2.0,1.0,60.00
2020-03-09 16:36:06.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:36:06.997,0.8367283,0.0077500995,-3.0160983,0.879437,0.28429142,-0.0013863565,-2.877116,0.40543988,0.5406666,0.092719994,-3.0417082,0.7412675,0.47647452,-0.26665968,-3.1509094,0.52522653,0.2709076,-0.5445848,-3.1010287,0.15084097,824.7985,799.011,555.2381,823.9927,753.8828,-0.3167724609375,0.01812744140625,0.96527099609375,1.428070068359375,-4.62066650390625,-1.966400146484375,1,1.0,1.0,2.0,1.0,60.00
2020-03-09 16:36:07.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:36:09.030,0.93678725,0.32626632,-3.0160983,0.9546833,0.75452733,-0.50396717,-2.877116,0.63492143,0.7823605,-0.08971563,-3.0417082,0.8058987,0.7022858,-0.046843033,-3.1509094,0.5146846,0.43168825,-0.3397353,-3.1010287,0.24881831,1021.8315,844.1392,1017.8022,864.68866,783.69965,-0.6168212890625,0.172607421875,0.86578369140625,0.351409912109375,-0.52337646484375,12.56103515625,1,1.0,1.0,2.0,1.0,60.00
2020-03-09 16:36:09.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:36:09.880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
