TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-06 15:19:04.828,0.5437919,0.18570477,0.9341879,1.121257,0.4536187,0.14039767,0.5659103,0.53467625,0.9093904,0.48650467,0.5188448,0.888657,1.3208642,0.049570207,0.18581139,0.78344405,1.0520357,-0.12493608,-0.09459721,0.5535131,789.34064,790.9524,801.4286,753.0769,652.74725,0.661376953125,0.1282958984375,0.74560546875,2.669219970703125,-0.1495361328125,2.332763671875,1,2.0,1.0,1.0,2.0,70.00
2020-03-06 15:19:06.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:06.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:06.846,0.5437919,0.17317563,0.30383584,1.121257,0.4536187,-0.11038868,-0.009580885,0.53467625,0.9093904,0.11362424,-0.003167533,0.888657,1.3208642,0.032692064,-0.029786732,0.78344405,1.0520357,-0.34811142,-0.39554834,0.5535131,819.9634,807.8755,795.78754,810.293,601.1722,-0.02679443359375,0.03759765625,0.9915771484375,2.699127197265625,4.643096923828125,-2.4224853515625,1,2.0,1.0,1.0,2.0,70.00
2020-03-06 15:19:07.380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:08.886,0.9443652,0.0075656003,-0.01915867,0.89442956,1.1485405,-0.08715871,0.28436935,1.0521226,1.9570143,0.47371686,0.60979605,1.8570988,0.725972,0.1578418,0.22270194,0.71921164,0.5593394,-0.06671626,-0.15638635,0.36779088,764.35895,795.38464,803.44324,769.59705,846.1539,0.02728271484375,-0.013916015625,1.01690673828125,1.30096435546875,5.96649169921875,-2.67669677734375,1,1.0,1.0,1.0,1.0,70.00
2020-03-06 15:19:09.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:09.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:10.910,1.1976509,-0.15920742,0.41258392,1.1853824,1.5196424,0.3212144,0.5204319,1.4726566,1.6806043,0.48526958,0.5991145,1.6507462,0.60111916,-0.037313607,0.17214233,0.5771235,0.11162392,-0.27149022,-0.1375211,0.128945,847.76556,800.2198,797.3993,838.0952,889.67035,-0.01898193359375,0.01336669921875,1.014404296875,1.5850830078125,-4.77020263671875,-1.854248046875,1,1.0,1.0,1.0,1.0,70.00
2020-03-06 15:19:11.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:12.942,1.1005951,0.42510957,0.05432479,1.0810728,1.06701,0.10426908,0.17950204,1.0239786,1.6517893,0.3308189,0.42154846,1.4717212,0.585024,-0.013401851,0.13068144,0.5198972,0.41536796,-0.35601977,-0.06310448,0.33566388,817.5458,803.44324,802.23444,798.60803,982.3443,0.01361083984375,0.00732421875,1.0150146484375,1.757049560546875,-5.84686279296875,-2.115936279296875,1,1.0,1.0,1.0,1.0,70.00
2020-03-06 15:19:14.953,0.6629628,0.017125372,-0.05214462,0.78415626,0.6416898,-0.17415306,0.089393914,0.76084137,1.1865884,0.49565297,0.3741246,1.3850547,0.6177302,-0.12606725,-0.06585668,0.64396566,0.1826656,-0.44771263,-0.263868,0.28664333,831.2454,799.41394,793.36993,809.89014,675.31134,0.01873779296875,9.1552734375E-4,1.0147705078125,1.951446533203125,-5.809478759765625,-0.82244873046875,1,1.0,1.0,1.0,1.0,75.00
2020-03-06 15:19:16.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:16.954,1.1541787,0.38646877,-0.07933269,1.1065505,1.360861,0.53736204,0.2425476,1.2823668,1.5486985,0.86119014,0.38079882,1.5893878,0.73823464,0.10540796,0.09606079,0.6669603,0.36708716,-0.28609386,-0.47545013,0.21350628,771.2088,808.2784,801.4286,779.67035,556.04395,0.02984619140625,0.011962890625,1.0130615234375,2.160797119140625,-4.964599609375,-0.70281982421875,1,1.0,1.0,1.0,1.0,75.00
2020-03-06 15:19:18.995,0.52176034,0.18974464,-0.055635966,0.6822221,0.6895256,-0.014697777,0.094579704,0.71695626,1.5086288,0.4095163,0.62278914,1.3111911,0.5803954,0.10497853,-0.066067286,0.50585884,0.3063864,-0.20073451,-0.18467395,0.2538681,805.8608,803.44324,800.2198,799.81683,750.2564,0.03179931640625,0.0113525390625,1.0123291015625,2.79632568359375,-4.044952392578125,-0.575714111328125,1,1.0,1.0,1.0,1.0,75.00
2020-03-06 15:19:19.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:21.014,0.78543437,0.41051462,0.08952919,0.9058566,0.885354,0.31367716,-0.037089877,1.0618477,1.5544878,0.43052727,0.41063955,1.3815595,0.56491745,0.07648199,0.049440533,0.5390936,0.12268727,-0.4667349,-0.20079602,0.1023983,834.0659,802.6374,795.38464,820.7692,863.47986,0.0218505859375,0.01129150390625,1.0133056640625,2.325286865234375,-4.26177978515625,-0.10467529296875,1,1.0,1.0,1.0,1.0,75.00
2020-03-06 15:19:22.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:23.038,1.1195488,0.49307787,0.025612198,1.1160246,0.89724,0.15717274,-0.13570674,0.86384904,1.4388847,0.3724247,0.5008898,1.3661846,0.62966657,-0.054660648,0.048979796,0.68037236,0.3048449,-0.28281286,-0.30771703,0.3458236,794.9817,797.3993,799.011,794.9817,605.6044,0.0323486328125,0.0054931640625,1.00982666015625,1.592559814453125,-5.181427001953125,-2.370147705078125,1,1.0,1.0,1.0,1.0,75.00
2020-03-06 15:19:24.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:19:25.058,1.155439,0.40082452,0.02897253,1.2391037,1.4170213,0.46576297,0.24026062,1.256634,1.478617,0.5960961,0.50855887,1.0896713,0.66052234,-0.04925944,-0.014969436,0.6143913,0.64474696,-0.19501631,-0.13401096,0.25661924,797.3993,803.0403,800.6227,803.0403,717.619,0.03533935546875,0.00897216796875,1.01519775390625,1.801910400390625,-4.912261962890625,-1.024322509765625,1,1.0,1.0,1.0,1.0,75.00
2020-03-06 15:19:27.085,1.1910806,0.10677903,-0.042812765,1.0005405,0.7081096,-0.1305139,-0.16490507,0.64666134,1.197184,0.24246244,0.2747481,1.3011398,0.5010429,0.040901203,0.06806355,0.53187424,0.23160094,-0.46125302,-0.15673187,0.08938577,767.5824,792.1612,787.326,769.19415,651.53845,0.03887939453125,0.0101318359375,1.009521484375,1.906585693359375,-4.74029541015625,-1.33087158203125,1,1.0,1.0,1.0,1.0,70.00
2020-03-06 15:19:29.127,1.1957135,0.33514825,-0.06473024,1.2417334,0.84349126,0.29626656,-0.18498398,0.88232285,1.2083913,0.5209541,0.23363915,1.0530769,0.6140665,-0.12698188,-0.024990823,0.5889785,0.39245614,-0.29087287,-0.21157539,0.3829677,795.78754,794.57874,796.99634,801.4286,729.304,0.02862548828125,0.00933837890625,1.0145263671875,1.727142333984375,-5.809478759765625,-1.15142822265625,1,1.0,1.0,1.0,1.0,70.00
2020-03-06 15:19:31.144,1.2632947,0.1256472,0.007668886,1.2882575,1.2452725,0.12270921,0.11112511,1.2182026,1.4522647,0.36948857,0.39765635,1.6158414,0.6023432,0.054444723,0.14604522,0.5582665,0.19612424,-0.4130651,-0.2996419,0.11187897,780.87915,807.47253,791.75824,770.40295,806.6667,0.0404052734375,0.008056640625,1.009033203125,2.654266357421875,-4.68048095703125,-0.261688232421875,1,1.0,1.0,1.0,1.0,70.00
2020-03-06 15:19:33.175,0.6026087,0.18354177,0.065001465,0.7487727,0.44988716,-0.12352471,-0.2357775,0.7573642,1.0484166,0.51570207,0.5225415,1.2683504,0.5705204,-0.15345731,-0.029092837,0.5022403,0.35335484,-0.30621886,-0.35831448,0.24444893,810.696,800.6227,797.3993,807.8755,781.28204,0.04388427734375,0.00140380859375,1.01080322265625,1.727142333984375,-5.121612548828125,-1.2261962890625,1,1.0,1.0,1.0,1.0,70.00
2020-03-06 15:19:35.180,0.63412833,0.11681958,-0.11663655,0.66504157,0.45997164,0.012471148,-0.38499087,0.5877214,1.3497261,0.29510936,0.24683155,1.3329194,0.45045033,-0.09111427,-0.017516915,0.39303735,0.31179047,-0.39600253,-0.22509773,0.20765088,838.49817,800.2198,801.8315,836.8865,903.7729,0.04010009765625,0.00732421875,1.01324462890625,2.325286865234375,-4.658050537109375,-1.1663818359375,1,1.0,1.0,1.0,1.0,70.00
