TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-06 14:13:47.673,1.0630184,0.22261044,0.5787776,1.0015903,0.6347951,-0.06150667,0.74681324,0.48974147,0.8001839,0.18470134,0.8084376,0.5808907,1.0630465,0.45611644,0.4533276,0.72729117,0.7464771,0.017427038,0.18614493,0.6097455,781.685,1032.3077,788.93774,765.16486,473.44324,0.455322265625,0.09857177734375,0.875732421875,1.734619140625,-0.665435791015625,-3.132781982421875,1,2.0,2.0,1.0,2.0,95.00
2020-03-06 14:13:48.677,1.0630184,0.22261044,0.31169832,1.0015903,0.6347951,-0.06150667,0.060645055,0.48974147,0.8001839,0.18470134,0.5248905,0.5808907,1.0630465,0.45611644,0.09372954,0.72729117,0.7464771,0.017427038,-0.19856678,0.6097455,690.2198,467.39926,799.011,678.1319,594.3223,0.47979736328125,0.07733154296875,0.89385986328125,3.94775390625,-0.7177734375,2.983245849609375,1,2.0,2.0,1.0,2.0,95.00
2020-03-06 14:13:48.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 14:13:49.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 14:13:49.705,1.0630184,0.22261044,0.1581063,1.0015903,0.6347951,-0.06150667,-0.0043555447,0.48974147,0.8001839,0.18470134,0.605474,0.5808907,1.0630465,0.45611644,0.08305594,0.72729117,0.7464771,0.017427038,-0.3241626,0.6097455,792.5641,562.8938,797.3993,791.75824,396.48352,0.2904052734375,0.08062744140625,0.9525146484375,5.136566162109375,17.525634765625,-3.327178955078125,1,2.0,4.0,1.0,2.0,95.00
2020-03-06 14:13:49.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 14:13:50.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 14:13:50.707,1.0630184,0.22261044,0.4491852,1.0015903,0.6347951,-0.06150667,0.48001635,0.48974147,0.8001839,0.18470134,0.7802833,0.5808907,1.0630465,0.45611644,0.43570632,0.72729117,0.7464771,0.017427038,0.16039445,0.6097455,819.15753,1078.2417,812.3077,788.93774,707.9487,0.33245849609375,0.103515625,0.91558837890625,4.358978271484375,-32.411956787109375,2.489776611328125,1,2.0,4.0,1.0,2.0,95.00
2020-03-06 14:13:51.716,1.0630184,0.22261044,0.85232186,1.0015903,0.6347951,-0.06150667,0.49742436,0.48974147,0.8001839,0.18470134,0.71601146,0.5808907,1.0630465,0.45611644,0.45067215,0.72729117,0.7464771,0.017427038,0.059041135,0.6097455,832.8571,1102.4176,797.3993,799.011,703.5165,0.397705078125,0.11712646484375,0.92303466796875,3.96270751953125,-6.123504638671875,0.829925537109375,1,2.0,2.0,1.0,2.0,95.00
2020-03-06 14:13:52.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
