TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-06 15:40:52.617,0.437407,0.8079978,0.4209363,0.6110176,0.5749357,0.6915636,0.5077092,0.77251,1.0440313,0.68954,0.3977337,0.8686248,1.1312505,0.20750865,0.23353459,0.71814096,0.4285659,-0.32694128,0.0017592229,0.39168948,762.3443,801.8315,802.6374,784.5055,748.6447,0.42279052734375,0.14117431640625,0.91070556640625,2.729034423828125,-3.828125,0.112152099609375,1,1.0,1.0,1.0,1.0,65.00
2020-03-06 15:40:53.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:40:54.647,0.41379187,-0.49451306,0.60356784,0.5912891,0.630328,-0.34610492,0.64816093,0.8596815,0.9835805,-0.09527729,0.7029278,0.74775094,1.0625212,0.20849396,0.099466704,0.66951025,0.4080352,-0.30537203,-0.16417946,0.34326136,844.94507,800.2198,804.65204,835.2747,884.83514,0.266357421875,0.06781005859375,0.997802734375,3.0804443359375,5.061798095703125,13.136749267578125,1,2.0,1.0,1.0,2.0,65.00
2020-03-06 15:40:55.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:40:56.704,0.65541863,0.9357432,-0.11406084,0.53181165,0.4528288,0.9215415,-0.3514678,0.40818205,0.334703,1.2090182,0.26312184,0.1959239,0.61777973,0.24054024,0.36825836,0.4355291,0.5306972,-0.13589787,-0.0207164,0.0943613,757.9121,797.3993,798.20514,784.10254,610.0366,0.24578857421875,0.03253173828125,0.984619140625,3.192596435546875,-6.841278076171875,0.575714111328125,1,1.0,1.0,1.0,1.0,55.00
2020-03-06 15:40:57.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:40:58.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:40:58.762,0.42492658,0.5458254,0.29102358,0.53181165,0.56365,0.5365797,0.154322,0.40818205,0.7933758,0.26931155,0.23629797,0.1959239,0.3781408,0.19163242,0.18321098,0.4355291,0.23127116,-0.2182449,-0.16792645,0.0943613,764.35895,797.8022,784.5055,776.4469,740.989,0.30865478515625,0.055908203125,0.9613037109375,2.7813720703125,-4.5159912109375,-0.725250244140625,1,1.0,1.0,1.0,1.0,55.00
2020-03-06 15:40:59.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-06 15:41:00.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
