TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-09 16:08:27.489,0.2644464,0.0,0.0,0.4612131,0.11203649,0.0,0.0,0.27694684,0.5584118,0.0,0.0,0.69111985,0.39273643,0.0,0.0,0.7730376,0.453867,0.0,0.0,0.43834183,884.43225,357.8022,776.8498,814.7253,1079.4506,-0.084716796875,0.0784912109375,1.00628662109375,2.415008544921875,-5.196380615234375,-1.143951416015625,1,1.0,4.0,1.0,1.0,65.00
2020-03-09 16:08:29.490,0.44030026,0.0,0.0,0.73236406,0.39458656,0.0,0.0,0.5865847,0.6048775,0.0,0.0,0.73791414,0.74694157,0.0,0.0,0.8042455,0.4169911,0.0,0.0,0.49623886,927.5458,638.24176,830.4396,794.9817,705.9341,-0.0877685546875,0.0782470703125,1.00811767578125,2.2430419921875,-5.48797607421875,-1.42059326171875,1,1.0,4.0,1.0,1.0,70.00
2020-03-09 16:08:30.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:08:31.503,0.6866247,0.0,0.0,0.25564566,0.22726533,0.0,0.0,0.242097,0.5471028,0.0,0.0,-0.036209974,0.6728424,0.0,0.0,0.72529334,0.14518526,0.0,0.0,0.40326345,732.52747,452.49084,605.6044,788.5348,843.73627,-0.08074951171875,0.08099365234375,1.00823974609375,2.444915771484375,-5.9814453125,-1.069183349609375,1,1.0,4.0,1.0,1.0,70.00
2020-03-09 16:08:33.540,0.3329732,0.0,0.0,0.09729985,0.27047843,0.0,0.0,0.1274116,0.62561667,0.0,0.0,0.4408176,0.4940668,0.0,0.0,0.7800518,0.25166243,0.0,0.0,0.28681093,933.5897,897.72894,810.293,828.022,948.0952,-0.08160400390625,0.0780029296875,1.00982666015625,2.0037841796875,-5.001983642578125,-1.592559814453125,1,1.0,4.0,1.0,1.0,70.00
2020-03-09 16:08:34.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:08:35.546,0.3666355,0.0,0.0,0.58252037,0.41563064,0.0,0.0,0.6489234,0.6539159,0.0,0.0,0.81966275,0.69101125,0.0,0.0,0.8022704,0.11478889,0.0,0.0,0.38463086,867.1062,908.60803,1352.6373,813.91943,814.3223,-0.07391357421875,0.0731201171875,1.00433349609375,1.757049560546875,-4.9346923828125,-1.27105712890625,1,1.0,4.0,1.0,1.0,70.00
2020-03-09 16:08:36.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:08:37.584,-0.2729913,0.0,0.0,0.13397637,0.25838926,0.0,0.0,0.48156995,0.78317744,0.0,0.0,0.5599673,0.5100282,0.0,0.0,0.77561367,0.2095363,0.0,0.0,0.30706558,664.83514,64.468864,75.347984,781.28204,711.978,-0.07232666015625,0.0784912109375,1.0120849609375,2.4224853515625,-4.822540283203125,-1.5252685546875,1,1.0,4.0,2.0,1.0,70.00
2020-03-09 16:08:38.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:08:39.607,-0.5096584,0.0,0.0,-0.11284049,0.27351317,0.0,0.0,-0.05184606,0.74400526,0.0,0.0,0.48727378,0.6020156,0.0,0.0,0.70104,0.285366,0.0,0.0,0.34792733,716.0073,344.90842,251.02563,776.8498,645.09155,-0.0738525390625,0.0760498046875,1.00714111328125,2.1234130859375,-5.301055908203125,-0.814971923828125,1,1.0,4.0,2.0,1.0,60.00
2020-03-09 16:08:41.625,0.013857216,0.0,0.0,-0.01599219,0.20723401,0.0,0.0,0.12398562,0.7492913,0.0,0.0,0.63398445,0.52107006,0.0,0.0,0.73560846,0.09063978,0.0,0.0,0.33664012,677.72894,403.73627,329.19415,787.326,887.6557,-0.0738525390625,0.07415771484375,1.00830078125,2.250518798828125,-5.286102294921875,-1.517791748046875,1,1.0,4.0,2.0,1.0,60.00
2020-03-09 16:08:43.638,0.4864636,0.0,0.0,0.4930185,0.44381735,0.0,0.0,0.19002709,0.73463434,0.0,0.0,0.6326153,0.44896126,0.0,0.0,0.59394354,0.2335984,0.0,0.0,0.53853637,640.65936,393.663,314.68866,774.0293,659.19415,-0.0714111328125,0.07855224609375,1.00494384765625,2.51220703125,-5.316009521484375,-1.31591796875,1,1.0,4.0,2.0,1.0,60.00
2020-03-09 16:08:44.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:08:45.675,0.56796086,0.0,0.0,0.24051106,0.6918511,0.0,0.0,0.5664896,0.5823695,0.0,0.0,0.59452605,0.50438297,0.0,0.0,0.7171998,0.33015966,0.0,0.0,0.38836223,655.16486,284.8718,211.94139,781.28204,634.21246,-0.112060546875,0.13653564453125,0.99603271484375,-0.201873779296875,-5.884246826171875,3.925323486328125,1,1.0,4.0,2.0,1.0,60.00
2020-03-09 16:08:46.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 16:08:47.711,1.1732918,0.0,0.0,0.33253536,1.0698583,0.0,0.0,0.579271,0.7319105,0.0,0.0,0.51765585,0.42021123,0.0,0.0,0.64551854,0.33370543,0.0,0.0,0.42455286,981.9414,506.48352,494.79852,886.4469,965.0183,-0.080078125,0.1004638671875,1.00634765625,2.235565185546875,-4.6954345703125,-0.934600830078125,1,1.0,4.0,2.0,1.0,60.00
2020-03-09 16:08:47.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
