TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-09 15:46:17.489,0.0,0.0,0.0,0.6235816,0.0,0.0,0.0,0.43844485,0.0,0.0,0.0,0.7732962,0.0,0.0,0.0,0.29771665,0.0,0.0,0.0,0.08672852,822.7839,904.9817,326.37363,794.57874,693.0403,-0.33612060546875,0.13079833984375,0.94610595703125,0.3289794921875,-4.38140869140625,1.36077880859375,1,4.0,1.0,2.0,1.0,75.00
2020-03-09 15:46:19.498,0.0,0.0,0.0,0.40883183,0.0,0.0,0.0,0.23857434,0.0,0.0,0.0,0.3345171,0.0,0.0,0.0,0.3393247,0.0,0.0,0.0,0.1729702,0.0,804.65204,221.61172,755.89746,747.03296,-0.338134765625,0.09832763671875,0.945556640625,1.60003662109375,-4.0972900390625,-0.695343017578125,1,4.0,1.0,2.0,1.0,75.00
2020-03-09 15:46:20.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 15:46:21.513,0.0,0.0,0.0,-0.0017626998,0.0,0.0,0.0,0.10901606,0.0,0.0,0.0,0.57178265,0.0,0.0,0.0,0.34382534,0.0,0.0,0.0,-0.105787165,1348.2051,836.08057,1050.4396,828.8278,910.2198,-0.3817138671875,0.08685302734375,0.94207763671875,-0.59814453125,-3.476715087890625,2.310333251953125,1,4.0,1.0,2.0,1.0,75.00
2020-03-09 15:46:23.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 15:46:23.545,0.0,0.0,0.0,-0.0017626998,0.0,0.0,0.0,0.10901606,0.0,0.0,0.0,0.57178265,0.0,0.0,0.0,0.34382534,0.0,0.0,0.0,-0.105787165,0.0,806.26373,283.26007,755.89746,689.011,-0.335205078125,0.06317138671875,0.95465087890625,3.887939453125,-6.273040771484375,-4.964599609375,1,4.0,1.0,2.0,2.0,75.00
2020-03-09 15:46:24.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 15:46:24.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-09 15:46:25.548,0.0,0.0,0.0,0.33583862,0.0,0.0,0.0,0.40568474,0.0,0.0,0.0,0.70840704,0.0,0.0,0.0,0.5956846,0.0,0.0,0.0,0.25073382,26.996338,826.0073,488.75458,749.85345,706.7399,-0.31610107421875,0.0709228515625,0.96051025390625,1.143951416015625,-2.61688232421875,2.52716064453125,1,2.0,1.0,2.0,1.0,75.00
2020-03-09 15:46:27.599,0.0,0.0,0.0,0.58698994,0.0,0.0,0.0,0.24596274,0.0,0.0,0.0,0.87105125,0.0,0.0,0.0,0.50030905,0.0,0.0,0.0,0.18209963,142.63736,849.3773,480.69598,761.13556,627.3626,-0.284423828125,0.050537109375,0.9676513671875,-0.5682373046875,-6.183319091796875,1.547698974609375,1,4.0,1.0,2.0,1.0,60.00
