TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2020-03-08 13:25:44.919,0.6340935,0.57262856,0.112790704,0.9237581,0.8549092,0.5835151,0.1632654,0.65971226,1.0311437,0.8904356,0.546606,0.6643254,0.7465153,0.3476419,0.35611942,0.5075826,0.10080751,-0.05462771,0.17906941,0.02578241,780.4762,788.1319,790.14655,751.06226,779.2674,0.0750732421875,0.0408935546875,1.00848388671875,2.325286865234375,-4.127197265625,-1.383209228515625,1,1.0,1.0,1.0,1.0,85.00
2020-03-08 13:25:45.925,0.6340935,0.5381945,-0.0046803453,0.9237581,0.8549092,0.504019,0.06540458,0.65971226,1.0311437,0.8904356,0.49807096,0.6643254,0.7465153,0.18754452,0.16383232,0.5075826,0.10080751,0.047651377,-0.03006811,0.02578241,770.80585,790.14655,794.57874,755.89746,668.46155,0.02166748046875,0.0496826171875,1.01239013671875,2.49725341796875,-6.9384765625,-3.09539794921875,1,2.0,1.0,1.0,2.0,85.00
2020-03-08 13:25:46.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-08 13:25:46.950,0.6340935,0.4232758,-0.23286746,0.9237581,0.8549092,-0.0074092867,-0.20918752,0.65971226,1.0311437,0.3001027,-0.021560872,0.6643254,0.7465153,0.15751937,-0.0056801615,0.5075826,0.10080751,-0.07813252,-0.2104517,0.02578241,800.2198,789.34064,813.1135,790.54944,755.89746,-0.06768798828125,0.03021240234375,1.0108642578125,1.8243408203125,-2.743988037109375,0.478515625,1,2.0,1.0,1.0,2.0,85.00
2020-03-08 13:25:47.952,0.6340935,0.7534443,0.37272906,0.9237581,0.8549092,0.22006828,-0.19839774,0.65971226,1.0311437,0.5220448,0.28630686,0.6643254,0.7465153,0.19062342,0.021493746,0.5075826,0.10080751,-0.18742341,-0.26562968,0.02578241,824.7985,789.34064,803.44324,838.0952,853.4066,-0.021728515625,0.02801513671875,1.02294921875,3.940277099609375,-7.215118408203125,0.5084228515625,1,2.0,1.0,1.0,2.0,85.00
2020-03-08 13:25:48.999,0.3859249,0.16922352,0.74396956,0.6127584,0.6596285,-0.25984427,-0.2781213,0.66947454,1.3092048,0.52287734,0.2989083,1.1321975,0.47988498,0.17384131,0.0437476,0.6709256,-0.0026998369,-0.21827456,-0.3599811,-0.01720539,834.0659,791.75824,792.96704,850.989,971.06226,-0.019287109375,0.03790283203125,1.01641845703125,1.5252685546875,-5.226287841796875,-0.441131591796875,1,1.0,1.0,1.0,1.0,85.00
2020-03-08 13:25:49.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2020-03-08 13:25:50.012,0.6481114,0.016504012,0.81373084,0.6445003,0.96327835,-0.08889013,-0.071391046,1.0124418,1.4318341,0.2904675,-0.018779201,1.3734173,0.49745086,-0.06361988,-0.3069065,0.5635851,0.016408395,-0.28869262,-0.4607098,-0.11850322,781.685,784.5055,794.17584,780.87915,946.08057,-0.00384521484375,0.06121826171875,1.0093994140625,2.3028564453125,-5.301055908203125,-0.3289794921875,1,1.0,1.0,1.0,1.0,85.00
2020-03-08 13:25:51.025,1.1767851,-0.107805245,-0.10584648,1.0702381,1.2136104,-0.25469106,-0.16203448,1.1789969,1.4571991,0.23736331,-0.033207614,1.47085,0.5976781,-0.16771418,-0.21980745,0.48532426,0.055581484,-0.21664809,-0.27307758,-0.081589706,799.41394,788.1319,800.6227,825.2015,842.1245,0.00128173828125,0.05560302734375,1.0072021484375,2.58697509765625,-5.2935791015625,-0.829925537109375,1,1.0,1.0,1.0,1.0,85.00
2020-03-08 13:25:51.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
